LawPubID,Include in Dashboard,Publication Type (Article or Book?),USC Author_Last_First,Focal USC Author Division/School,Focal USC Author Department,Authors_dont_use,Author.full.names,Author.s..ID,Title,Year,Source.title,Volume,Issue,Art..No.,Page.start,Page.end,Page.count,DOI,Cited.by,Link,Affiliations,Authors.with.affiliations,Abstract,Indexed.Keywords,Author.Keywords
Law42,Yes,Article,"Barnett, Jonathan M.",USC Gould School of Law,Law JD Operations,"Barnet, Jonathan M.",,56253107700,Patent Groupthink Unravels,2022,Harvard Journal of Law & Technology,34,2,,,,,,,,,,"For some time, there has been a broadly held consensus among significant portions of the scholarly, policymaking, advocacy, and business communities concerning the U.S. patent system. Namely: the system is “broken” and must be fixed by raising the bar to obtain a patent and limiting the remedies and other protections afforded to patent owners when suing third parties for infringement. Widely-cited books published in the mid-2000s by economists and legal academics vigorously expressed this position, arguing that alleged overissuance and overenforcement of patents imperiled innovators and consumers. 1 Legal scholars and other commentators have often called for the aboli- tion of patents on software innovations 2 and, in a widely discussed book, two prominent economists advocated for the abolition of patent protection in4most industries, 3 stating dramatically that it is an ""unnecessary evil""",,
Law59,Yes,Article,"Barnett, Jonathan M.",USC Gould School of Law,Law JD Operations,"Barnet, Jonathan M.",,56253107700,Patent Groupthink Unravels,2021,Harvard Journal of Law & Technology,34,2,,,,,,,https://papers.ssrn.com/abstract=3787557,,,"A largely unqualified consensus among substantial portions of the scholarly, policymaking, advocacy and business communities has taken the view that the U.S. patent system, since approximately the early 1980s, has endangered innovation by adopting historically strong forms of patent protection that facilitate opportunistic patent acquisition and litigation strategies. Based on this view, the Supreme Court, Congress, and federal antitrust regulators have taken a series of steps, approximately since the mid-2000s, that have significantly weakened patent protections and, for substantial categories of patent owners, largely precluded the possibility of securing injunctive relief against infringers. An accumulating and under-acknowledged body of empirical research now indicates that this common understanding concerning the alleged failures of the U.S. patent system often relies on theoretical intuitions and anecdotal reports that ultimately lack compelling evidentiary support. Roughly concurrently, the U.S. Department of Justice, the U.S. Patent & Trademark Office and, to a lesser but still material extent, the U.S. Supreme Court have taken actions or issued statements that have incrementally enhanced certain protections for patent owners. Courts in the United Kingdom and the European Union have also taken steps to bolster the availability of injunctive relief for certain types of patent owners. This evolving policy “reset” reflects an emergent and nuanced re-assessment of the complex economic tradeoffs raised by robust forms of patent protection.",,
Law180,No,Policy Memo or Brief,"Barnett, Jonathan M.",USC Gould School of Law,Law JD Operations,"Barnet, Jonathan M.",,56253107700,The End of Patent Groupthink,2020,,,,,,,,,,https://cip2.gmu.edu/wp-content/uploads/sites/31/2020/04/Barnett-The-End-of-Patent-Groupthink.pdf,,,,,
Law182,No,Policy Memo or Brief,"Barnett, Jonathan M.",USC Gould School of Law,Law JD Operations,"Barnet, Jonathan M.",,56253107700,The Long Shadow of the Blackberry Shutdown That Wasn’t,2020,,,,,,,,,,https://cip2.gmu.edu/wp-content/uploads/sites/31/2020/07/Barnett-Long-Shadow-of-the-Blackberry-Shutdown.pdf,,,,,
Law57,No,Policy Memo or Brief,"Barnett, Jonathan M.",USC Gould School of Law,Law JD Operations,"Barnet, Jonathan M.",,56253107700,How IP Rights Keep Markets Free,2021,Hudson Institute,10,,,1,8,,,,https://www.hudson.org/technology/how-ip-rights-keep-markets-free,,,"It is elementary that secure protection of property rights is a necessary precondition for efficient markets that drive economic growth. Yet this principle is not always recognized in the case of markets for intangible goods. Rather, intellectual property rights are often characterized as a monopoly franchise that stands at odds with free-market competition. Following this view, IP rights at best provide a justifiable means to incentivize innovation but are prone to abuse by incumbents seeking to block entrants.",,
Law63,Yes,Article,"Barry, Jordan",USC Gould School of Law,Law JD Operations,"Barry, Jordan; Hatfield, John; Kominers, Scott",,Gould2,To Thine Own Self Be True? Incentive Problems in Personalized Law,2021,William & Mary Law Review,,3,,,,,,,https://scholarship.law.wm.edu/wmlr/vol62/iss3/2,,,"Recent years have seen an explosion of scholarship on “personalized law.” Commentators foresee a world in which regulators armed with big data and machine learning techniques determine the optimal legal rule for every regulated party, then instantaneously disseminate their decisions via smartphones and other “smart” devices. They envision a legal utopia in which every fact pattern is assigned society’s preferred legal treatment in real time. But regulation is a dynamic process; regulated parties react to law. They change their behavior to pursue their preferred outcomes— which often diverge from society’s—and they will continue to do so under personalized law: They will provide regulators with incomplete or inaccurate information. They will attempt to manipulate the algorithms underlying personalized laws by taking actions intended to disguise their true characteristics. Personalized law can also (unintentionally) encourage regulated parties to act in socially undesirable ways, a phenomenon known as moral hazard. Moreover, regulators seeking to combat these dynamics will face significant constraints. Regulators will have imperfect information, both because of privacy concerns and because regulated parties and intermediaries will muddle regulators’ data. They may lack the authority or the political will to respond to regulated parties’ behavior. The transparency requirements of a democratic society may hinder their ability to thwart gamesmanship. Concerns about unintended consequences may further lower regulators’ willingness to personalize law. Taken together, these dynamics will limit personalized law’s ability to optimally match facts to legal outcomes. Personalized law may be a step forward, but it will not produce the utopian outcomes that some envision.",,
Law64,Yes,Article,"Brown, Rebecca",USC Gould School of Law,Law JD Operations,"Brown, Rebecca; Neufeld, Peter",,Gould3,Chimes of Freedom Flashing: For Each Unharmful Gentle Soul Misplaced inside a Jail,2021,New York University Annual Survey of American Law,62,2,,,,,,,https://heinonline.org/HOL/P?h=hein.journals/annam76&i=289,,,"The more than 375 post-conviction DNA exonerations, all secured since 1989,1 confirm with great certainty that the criminal legal system makes serious mistakes, and by design, contributes to erroneous adjudications of guilt. Over the last thirty years, DNA has provided irrefutable proof of innocence and has secured freedom for a significant but small proportion of those who have been convicted of crimes they did not commit.2 DNA testing of biological evidence stored for more than forty years after the initial conviction produces more reliable outcomes than the original investigation or trial. Further, in half the cases, the new DNA testing not only clears the wrongly convicted, but it also identifies the person who actually committed the crime.3 The Innocence Project was founded with a single mandate to use DNA evidence to free the factually innocent who had been wrongly convicted.4 However, our policy department was not established until more than ten years later. Although the Innocence Project is perhaps best known for its success in freeing the innocent, we came to realize that the most effective means for reducing the risk of wrongful conviction is through systemic policy reform.",,
Law65,Yes,Article,"Brown, Rebecca",USC Gould School of Law,Law JD Operations,"Brown, Rebecca; Conti-Cook, Cynthia",,Gould3,Crime without Punishment,2021,Human Rights,76,2,,,,,,,https://heinonline.org/HOL/P?h=hein.journals/huri46&i=44,,,"There are many reasons why the murder of George Floyd by Minneapolis Police Officer Derek Chauvin sparked unprecedented global protests and, in New York, the political will to finally repeal a law, 50-a, that hid police misconduct for decades. Floyd’s death was obviously brutal, and both Floyd’s vulnerability and Chauvin’s cruelty were unquestionably broadcast around the world in the video that captured the murder. But it wasn’t just the existence of video footage or Chauvin’s particular sadism as he callously pinned Floyd’s neck to the ground with his knee that finally forced America to face the truth about police violence. It was also the immediate public access to Chauvin’s history of complaints from other Minneapolis residents and the paucity of the Minneapolis Police Department’s response. This was only possible because police misconduct records in Minnesota are publicly accessible, unlike in most of America, where we rely on leaks for such information. In the face of Chauvin’s publicized misconduct history, the overwhelming sentiment around the world was that George Floyd’s blood was not on Chauvin’s hands alone, but on the entire apparatus of the justice system that not only tolerated but enabled Chauvin’s brutality.",,
Law66,Yes,Article,"Brown, Rebecca",USC Gould School of Law,Law JD Operations,"Brown, Rebecca",,Gould3,Who Constrains Presidential Exercise of Delegated Powers?,2021,William & Mary Bill of Rights Journal,46,3,,,,,,,https://scholarship.law.wm.edu/wmborj/vol29/iss3/2,,,"Building on the work of administrative law scholars who have identified and illuminated the several components of the problem over the years, this Article will seek to show what has happened when a cluster of separate circumstances have come together to create a new and serious threat to individual liberty when the President exercises expansive delegated authority. Several doctrinal components lead to this confluence: First, the moribund “intelligible principle” test has evolved to provide little or no constraint on this or any other delegation. Second, a delegation to the President, specifically, is not subject to the procedural requirements of the Administrative Procedure Act (APA), leaving no extrinsic, enforceable obligation to avoid arbitrary action. Third, the Supreme Court has barred from review the correctness of any factual finding by the President that provides the statutory trigger for his own power. Finally, a new presidential attitude has ushered in a collapse of the voluntary or informal norms of self-restraint that once offered some modicum of constraint on presidential power. Developments in the Court’s separation-of-powers jurisprudence over decades have opened up a dangerous lacuna in the overall constitutional protection against arbitrary government action, ready to be exploited by any President who might show an inclination to read his or her power as unlimited and unchecked, undeterred by the norms of historical practice. When a President walks upon the stage thus set by prior doctrine, the combination creates a perfect storm for a threat to individual liberty. The following discussion will first examine each element of the problem in the case law as fleshed out by earlier scholars, and then examine the ramifications for the protection of rights today in the center of the storm. I will conclude by suggesting that the nondelegation doctrine should indeed be revived, but specifically for the purpose of limiting, constraining, and reviewing the actions of a President pursuant to direct delegated authority.",,
Law183,Yes,Article,"Capron, Alexander M. ",USC Gould School of Law,Law JD Operations,"Capron, Alexander M.; Delmonico, Francis L.; Danovitch, Gabriel M.",,7202272838,Financial Neutrality in Organ Donation,2020,Journal of the American Society of Nephrology : JASN,,1,,229,230,,10.1681/ASN.2019080862,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6935012/,,,,"kidney transplantation, organ donation, financial neutrality",
Law184,Yes,Article,"Capron, Alexander M. ",USC Gould School of Law,Law JD Operations,"Danovitch, Gabriel M.; Capron, Alexander M.; Delmonico, Francis L.",,7202272838,The True Meaning of Financial Neutrality in Organ Donation,2021,American Journal of Kidney Diseases,31,6,,967,968,,10.1053/j.ajkd.2020.11.006,,https://www.sciencedirect.com/science/article/pii/S027263862031129X,,,,,
Law185,Yes,Article,"Capron, Alexander M. ",USC Gould School of Law,Law JD Operations,"Adashi, Eli Y.; Caplan, Arthur L.; Capron, Alexander; Chapman, Audrey R.; Cho, Mildred; Clayton, Ellen Wright; Cohen, I. Glenn; Cook-Deegan, Robert; Faden, Ruth R.; Friedmann, Theodore; Gostin, Lawrence O.; Greely, Henry T.; Johnston, Josephine; Juengst, Eric; King, Patricia A.; Knowles, Lori P.; Lyerly, Anne Drapkin; McGuire, Amy L.; Moreno, Jonathan D.; Rothenberg, Karen; Truog, Robert D.; Walters, LeRoy",,7202272838,In support of mitochondrial replacement therapy,2019,Nature Medicine,77,6,,870,871,,10.1038/s41591-019-0477-4,,https://www.nature.com/articles/s41591-019-0477-4,,,,,
Law186,Yes,Article,"Capron, Alexander M. ",USC Gould School of Law,Law JD Operations,"Capron, Alexander Morgan",,7202272838,Looking Back at Withdrawal of Life-Support Law and Policy to See What Lies Ahead for Medical Aid-in-Dying,2019,The Yale Journal of Biology and Medicine,25,4,,781,791,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6913806/,,,"Current efforts to legalize medical aid-in-dying in this country follow a half century of remarkable legal developments regarding when, how, and on whose terms to intervene to prevent death and extend life in critically and terminally ill patients. The starting point—which I call the first stage along the path—was the creation in the two decades following World War II of powerful means of keeping very ill, and typically unconscious, patients alive. The second stage began in the late 1960s as physicians (and then others in society) began to grapple with the consequences of maintaining such patients on life-support indefinitely. Over five decades, judicial decisions, followed by implementing statutes and regulations, transformed legal rights and medical practices. Are the current developments—which center on legalizing medical aid-in-dying—a third stage along the same path, or do the striking differences between the issues raised about life-sustaining treatment and euthanasia suggest that they are separate? What lessons might those proceeding along the aid-in-dying path take from the development of the other path, and if the two paths are still distinct today, might they merge in the future?",,
Law187,Yes,Article,"Capron, Alexander M. ",USC Gould School of Law,Law JD Operations,"Hutchinson, Nora; Capron, Alexander; Doussau, Adélaïde",,7202272838,Research Participants Should Have the Option to Be Notified of Results of Unknown but Potential Significance,2019,The American Journal of Bioethics,92,4,,78,80,,10.1080/15265161.2019.1572830,,https://doi.org/10.1080/15265161.2019.1572830,,,,,
Law67,Yes,Article,"Capron, Alexander M. ",USC Gould School of Law,Law JD Operations,"Capron, Alexander Morgan",,7202272838,"Covid‐19, Free Exercise, and the Changing Constitution",2021,The Hastings Center Report,29,6,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8652872/,,,"The Covid‐19 pandemic has brought bioethics back to five topics—justice, autonomy, expert authority, religion, and judicial decisions—that were central during its formative period but has cast a new light on each, while also tangling public health policy in the current, rather radical, reshaping of the role of organized religion in society.",,
Law68,Yes,Article,"Capron, Alexander M. ",USC Gould School of Law,Law JD Operations,"Domínguez-Gil, Beatriz; Ascher, Nancy; Capron, Alexander M.; Gardiner, Dale; Manara, Alexander R.; Bernat, James L.; Miñambres, Eduardo; Singh, Jeffrey M.; Porte, Robert J.; Markmann, James F.; Dhital, Kumud; Ledoux, Didier; Fondevila, Constantino; Hosgood, Sarah; Van Raemdonck, Dirk; Keshavjee, Shaf; Dubois, James; McGee, Andrew; Henderson, Galen V.; Glazier, Alexandra K.; Tullius, Stefan G.; Shemie, Sam D.; Delmonico, Francis L.",,7202272838,Expanding controlled donation after the circulatory determination of death: statement from an international collaborative,2021,Intensive Care Medicine,51,3,,,,,,,,,,"A decision to withdraw life-sustaining treatment (WLST) is derived by a conclusion that further treatment will not enable a patient to survive or will not produce a functional outcome with acceptable quality of life that the patient and the treating team regard as beneficial. Although many hospitalized patients die under such circumstances, controlled donation after the circulatory determination of death (cDCDD) programs have been developed only in a reduced number of countries. This International Collaborative Statement aims at expanding cDCDD in the world to help countries progress towards self-sufficiency in transplantation and offer more patients the opportunity of organ donation. The Statement addresses three fundamental aspects of the cDCDD pathway. First, it describes the process of determining a prognosis that justifies the WLST, a decision that should be prior to and independent of any consideration of organ donation and in which transplant professionals must not participate. Second, the Statement establishes the permanent cessation of circulation to the brain as the standard to determine death by circulatory criteria. Death may be declared after an elapsed observation period of 5 min without circulation to the brain, which confirms that the absence of circulation to the brain is permanent. Finally, the Statement highlights the value of perfusion repair for increasing the success of cDCDD organ transplantation. cDCDD protocols may utilize either in situ or ex situ perfusion consistent with the practice of each country. Methods to accomplish the in situ normothermic reperfusion of organs must preclude the restoration of brain perfusion to not invalidate the determination of death.",,
Law69,Yes,Article,"Capron, Alexander M. ",USC Gould School of Law,Law JD Operations,"Veale, Jeffrey L.; Nassiri, Nima; Capron, Alexander M.",,7202272838,"Nondirected, Advanced, and Voucher-Based Donation-The Importance of Terminology-Reply",2021,JAMA surgery,47,3,,,,,,,,,,"In Reply Matas cites an article that provides the necessary definitions of the 3 categories of living kidney donation.1 Although he characterizes these as distinct, they actually overlap. Advanced donation, which first occurred in a kidney-paired donation when a donor needed to donate before their biologically incompatible recipient received a kidney from a nondirected donor, now occurs under a variety of circumstances. Voucher-based donations constitute a subgroup within the category of advanced donation.2 When originally developed, they were meant to accommodate someone who is chronologically incompatible with their prospective recipient whose need for a transplant might arise at a future time when the donor would no longer be able to provide an organ.3 When such a person becomes a donor, a voucher is created, which the patient in question can use to obtain a kidney (for example, at the end of a chain of paired donations) if that is ever needed.",,
Law70,Yes,Article,"Capron, Alexander M. ",USC Gould School of Law,Law JD Operations,"Veale, Jeffrey L.; Nassiri, Nima; Capron, Alexander M.; Danovitch, Gabriel M.; Gritsch, H. Albin; Cooper, Matthew; Redfield, Robert R.; Kennealey, Peter T.; Kapur, Sandip",,7202272838,Voucher-Based Kidney Donation and Redemption for Future Transplant,2021,JAMA surgery,157,9,,,,,,,,,,"Policy makers, transplant professionals, and patient organizations agree that there is a need to increase the number of kidney transplants by facilitating living donation. Vouchers for future transplant provide a means of overcoming the chronological incompatibility that occurs when the ideal time for living donation differs from the time at which the intended recipient actually needs a transplant. However, uncertainty remains regarding the actual change in the number of living kidney donors associated with voucher programs and the capability of voucher redemptions to produce timely transplants. OBJECTIVE: To examine the consequences of voucher-based kidney donation and the capability of voucher redemptions to provide timely kidney allografts. DESIGN, SETTING, AND PARTICIPANTS: This multicenter cohort study of 79 transplant centers across the US used data from the National Kidney Registry from January 1, 2014, to January 31, 2021, to identify all family vouchers and patterns in downstream kidney-paired donations. The analysis included living kidney donors and recipients participating in the National Kidney Registry family voucher program. EXPOSURES: A voucher was provided to the intended recipient at the time of donation. Vouchers had no cash value and could not be sold, bartered, or transferred to another person. When a voucher was redeemed, a living donation chain was used to return a kidney to the voucher holder. MAIN OUTCOMES AND MEASURES: Deidentified demographic and clinical data from each kidney donation were evaluated, including the downstream patterns in kidney-paired donation. Voucher redemptions were separately evaluated and analyzed. RESULTS: Between 2014 and 2021, 250 family voucher-based donations were facilitated. Each donation precipitated a transplant chain with a mean (SD) length of 2.3 (1.6) downstream kidney transplants, facilitating 573 total transplants. Of those, 111 transplants (19.4%) were performed in highly sensitized recipients. Among 250 voucher donors, the median age was 46 years (range, 19-78 years), and 157 donors (62.8%) were female, 241 (96.4%) were White, and 104 (41.6%) had blood type O. Over a 7-year period, the waiting time for those in the National Kidney Registry exchange pool decreased by more than 3 months. Six vouchers were redeemed, and 3 of those redemptions were among individuals with blood type O. The time from voucher redemption to kidney transplant ranged from 36 to 155 days. CONCLUSIONS AND RELEVANCE: In this study, the family voucher program appeared to mitigate a major disincentive to living kidney donation, namely the reluctance to donate a kidney in the present that could be redeemed in the future if needed. The program facilitated kidney donations that may not otherwise have occurred. All 6 of the redeemed vouchers produced timely kidney transplants, indicating the capability of the voucher program.",,
Law71,Yes,Article,"Cowan, Geoffrey",USC Gould School of Law,Law JD Operations,"Chen, Emily; Chang, Herbert; Rao, Ashwin; Lerman, Kristina; Cowan, Geoffrey; Ferrara, Emilio",,Gould4,COVID-19 misinformation and the 2020 U.S. presidential election,2021,Harvard Kennedy School Misinformation Review,156,,,,,,,,https://misinforeview.hks.harvard.edu/article/covid-19-misinformation-and-the-2020-u-s-presidential-election/,,,"Voting is the defining act for a democracy. However, voting is only meaningful if public deliberation is grounded in veritable and equitable information. This essay investigates the politicization of public health practices during the Democratic primaries in the context of the 2020 U.S. presidential election, using a dataset of more than 67 million tweets. We",,
