pub,new_classification
"Depth profiles of suspended carbon and nitrogen along a North Pacific transect: Concentrations, isotopes, and ratios",SDG-Related
Constraining CaCO3 Export and Dissolution With an Ocean Alkalinity Inverse Model,SDG-Related
The Last 1200 Years of Rainfall/Runoff Variability along the Central Mexico Pacific Coast Associated with the North American Monsoon,SDG-Related
Towards a hygroscopic growth calibration for low-cost PM2.5 sensors,Sustainability-Focused
Influence of the Amazon River on the composition of particulate organic carbon in the western tropical Atlantic Ocean,SDG-Related
An atomic force microscopy study of calcite dissolution in seawater,Not-Related
Comparison Between Blood-Brain Barrier Water Exchange Rate and Permeability to Gadolinium-Based Contrast Agent in an Elderly Cohort,SDG-Related
Associations between vascular function and Tau PET are associated with global cognition and amyloid,SDG-Related
Brain delivery of supplemental docosahexaenoic acid (DHA): A randomized placebo-controlled clinical trial,SDG-Related
A novel sensitive assay for detection of a biomarker of pericyte injury in cerebrospinal fluid,SDG-Related
APOE4 leads to blood–brain barrier dysfunction predicting cognitive decline,SDG-Related
Retinal nerve fiber layer thickness predicts CSF amyloid/tau before cognitive decline,SDG-Related
Channelrhodopsin Excitation Contracts Brain Pericytes and Reduces Blood Flow in the Aging Mouse Brain in vivo,SDG-Related
"Perivascular spaces in the brain: anatomy, physiology and pathology",SDG-Related
Acute Ablation of Cortical Pericytes Leads to Rapid Neurovascular Uncoupling,SDG-Related
Functional connectivity among brain regions affected in Alzheimer's disease is associated with CSF TNF-α in APOE4 carriers,SDG-Related
Clearance of interstitial fluid (ISF) and CSF (CLIC) group—part of Vascular Professional Interest Area (PIA): Cerebrovascular disease and the failure of elimination of Amyloid-β from the brain and retina with age and Alzheimer's disease-Opportunities for Therapy,SDG-Related
3K3A-Activated Protein C Variant Does Not Interfere with the Plasma Clot Lysis Activity of Tenecteplase,SDG-Related
ApoE4 accelerates development of dementia after stroke is there a role for cerebrovascular dysfunction?,SDG-Related
Can prehospital “plasma supplement” neutralize the systemic storm in severe trauma?,SDG-Related
Protection of ischemic white matter and oligodendrocytes in mice by 3K3A-activated protein C,SDG-Related
Editorial for “MRI-Based Investigation of Association Between Cerebrovascular Structural Alteration and White Matter Hyperintensity Induced by High Blood Pressure”,SDG-Related
Acetylated tau: A missing link between head injury and dementia,SDG-Related
APOE4 accelerates advanced-stage vascular and neurodegenerative disorder in old Alzheimer’s mice via cyclophilin A independently of amyloid-β,SDG-Related
Investigating the blood–spinal cord barrier in preclinical models: a systematic review of in vivo imaging techniques,SDG-Related
Early neuroinflammation is associated with lower amyloid and tau levels in cognitively normal older adults,SDG-Related
Stroke Treatment With PAR-1 Agents to Decrease Hemorrhagic Transformation,SDG-Related
"Evidence that blood–CSF barrier transport, but not inflammatory biomarkers, change in migraine, while CSF sVCAM1 associates with migraine frequency and CSF fibrinogen",SDG-Related
Endothelial LRP1 protects against neurodegeneration by blocking cyclophilin A,SDG-Related
A Review of Translational Magnetic Resonance Imaging in Human and Rodent Experimental Models of Small Vessel Disease,SDG-Related
Cranial Suture Regeneration Mitigates Skull and Neurocognitive Defects in Craniosynostosis,SDG-Related
Brain barriers and their potential role in migraine pathophysiology,SDG-Related
"A ""multi-omics"" analysis of blood-brain barrier and synaptic dysfunction in APOE4 mice",SDG-Related
Characterization of perivascular space pathology in a rat model of cerebral small vessel disease by in vivo magnetic resonance imaging,SDG-Related
"Imaging subtle leaks in the blood–brain barrier in the aging human brain: potential pitfalls, challenges, and possible solutions",SDG-Related
3K3A-Activated Protein C Protects the Blood-Brain Barrier and Neurons From Accelerated Ischemic Injury Caused by Pericyte Deficiency in Mice,SDG-Related
A single-cell atlas of the normal and malformed human brain vasculature,SDG-Related
The small HDL particle hypothesis of Alzheimer's disease,SDG-Related
Blood–brain barrier link to human cognitive impairment and Alzheimer’s disease,SDG-Related
Anti-malaria drug artesunate prevents development of amyloid-β pathology in mice by upregulating PICALM at the blood-brain barrier,SDG-Related
PIKFYVE inhibition mitigates disease in models of diverse forms of ALS,SDG-Related
Characterization of spastic paraplegia in a family with a novel PSEN1 mutation,SDG-Related
Analysis of brain edema in RHAPSODY,SDG-Related
Molecular biomarkers for vascular cognitive impairment and dementia,SDG-Related
The liver and muscle secreted HFE2-protein maintains central nervous system blood vessel integrity,SDG-Related
Fluid biomarkers of the neurovascular unit in cerebrovascular disease and vascular cognitive disorders: A systematic review and meta-analysis,SDG-Related
Neuronally differentiated macula densa cells regulate tissue remodeling and regeneration in the kidney,SDG-Related
"Decreased functional connectivity is associated with increased levels of Cerebral Spinal Fluid soluble-PDGFRβ, a marker of blood brain barrier breakdown, in older adults",SDG-Related
Brain repair mechanisms after cell therapy for stroke,SDG-Related
"A Durable, Inexpensive and Scalable Redox Flow Battery Based on Iron Sulfate and Anthraquinone Disulfonic Acid",Sustainability-Focused
Aqueous organic flow batteries for sustainable energy storage,Sustainability-Focused
Ionomer Significance in Alkaline Direct Methanol Fuel Cell to Achieve High Power with a Quarternized Poly(terphenylene) Membrane,SDG-Related
Methanol in the RNA world: An astrochemical perspective,SDG-Related
Advances in pursuit of fluorine in the interstellar medium and beyond: relevance to its terrestrial chemistry,SDG-Related
Dynamics of direct hydrocarbon PEM fuel cells,SDG-Related
Protonation of CH3N3 and CF3N3 in Superacids: Isolation and Structural Characterization of Long-Lived Methyl- and Trifluoromethylamino Diazonium Ions,Not-Related
Direct Synthesis of Tri-/Difluoromethyl Ketones from Carboxylic Acids by Cross-Coupling with Acyloxyphosphonium Ions,Not-Related
Reassessing the Necessity of the Drying Step in Hummer's Method for Graphene Oxide Synthesis,Not-Related
"Chemoselective N- And O-Difluoromethylation of 2-Pyridones, Isoquinolinones, and Quinolinones with TMSCF2Br",Not-Related
Visible-Light Photoredox-Catalyzed C(sp2)-H Difluoromethoxylation of (Hetero)arenes Utilizing a Shelf-Stable Pyridinium Reagent,Not-Related
Visible Light-Mediated Metal-Free Chlorodifluoromethylation of Arenes and Heteroarenes by a Hypervalent Iodine EDA Complex,Not-Related
Synthesis of difluoromethylated formimidamides from primary aryl amines using TMSCF2Br as a dual C1 synthon,Not-Related
Gem-Halofluorocyclopropanes via [2 + 1] Cycloadditions of in Situ Generated CFX Carbene with Alkenes,Not-Related
Nickel and Copper Catalyzed ipso-Phosphonodifluoromethylation of Arylboronic Acids with BrCF2P(O)(OEt)2 for the Synthesis of Phosphonodifluoromethylarenes,Not-Related
Copper-Catalyzed Synthesis of Difluoromethyl Alkynes from Terminal and Silyl Acetylenes,Not-Related
Synthesis of Monofluoromethylarenes: Direct Monofluoromethylation of Diaryliodonium Bromides using Fluorobis(phenylsulfonyl)methane (FBSM),Not-Related
"Recent Advances in Visible Light-Mediated Radical Fluoro-alkylation, -alkoxylation, -alkylthiolation, -alkylselenolation, and -alkylamination",Not-Related
Photoredox Catalysis for the Synthesis of N-CF2H Compounds Using 1-((N-(difluoromethyl)-4-methylphenyl)-sulfonamido)pyridin-1-ium Trifluoromethanesulfonate,Not-Related
Synthesis of gem‑bromofluoroolefins using singlet bromofluorocarbene generated from ethyl dibromofluoroacetate via a Wittig-type reaction,Not-Related
Azidodifluoromethanide (N3CF2-): In Situ Generation and Nucleophilic Addition to Aldehydes,Not-Related
Mono- and Difluoromethylation of 3(2H)-Pyridazinones,Not-Related
Association of Physical Activity with Incidence of Dementia Is Attenuated by Air Pollution,Sustainability-Focused
Neurophysiological improvements in speech-in-noise task after short-term choir training in older adults,SDG-Related
ANCOVA: An Approach Based on a Robust Heteroscedastic Measure of Effect Size,SDG-Related
Leisure-time sedentary behaviors are differentially associated with all-cause dementia regardless of engagement in physical activity,SDG-Related
Astigmatism analysis and reporting of surgically induced astigmatism and prediction error,SDG-Related
Sedentary Behavior and Incident Dementia among Older Adults,SDG-Related
From means to meaning in the study of sex/gender differences and similarities,SDG-Related
Associations between accelerometer-derived sedentary behavior and physical activity with white matter hyperintensities in middle-aged to older adults,SDG-Related
Inferences about quantile correlations,SDG-Related
Robust statistical methods in R using the WRS2 package,Not-Related
"Inferences About the Probability of Success, Given the Value of a Covariate, Using a Nonparametric Smoother",Not-Related
A Note on Inferences About the Probability of Success,Not-Related
Regulation of Forward Angular Impulse in Tasks With Backward Translation,Not-Related
Inferences about which of J dependent groups has the largest robust measure of location,Not-Related
Introduction to Robust Estimation and Hypothesis Testing,Not-Related
A note on computing a confidence interval for the mean,Not-Related
The Percentile Bootstrap: A Primer With Step-by-Step Instructions in R,Not-Related
"One-Way and Two-Way ANOVA: Inferences About a Robust, Heteroscedastic Measure of Effect Size",Not-Related
Two-way ANOVA: Inferences about interactions based on robust measures of effect size,Not-Related
A new test for comparing J independent groups by using one-step M-estimator and bootstrap-t,Not-Related
Comparing the variances or robust measures of scale of two dependent variables,Not-Related
Generation of forward angular impulse with different initial conditions,Not-Related
A multi-analyses approach of inductive/deductive asymmetry in the affective priming paradigm,Not-Related
An Updated Guide to Robust Statistical Methods in Neuroscience,Not-Related
Within Groups Designs: Inferences Based on A Robust Nonparametric Measure of Effect Size,Not-Related
On testing the equality between interquartile ranges,Not-Related
ROBUST PARTIAL CORRELATIONS,Not-Related
Some Results on Estimating a Wilcoxon–Mann–Whitney Measure of Effect Size When There are two Covariates,Not-Related
Univariate and multivariate sex differences and similarities in gray matter volume within essential language-processing areas,Not-Related
Robust Correlation Coefficients That Deal With Bad Leverage Points,Not-Related
A QuantileShift Approach to Main Effects and Interactions in a 2-by-2 Design,Not-Related
Inferences about robust measures of effect size for two dependent variables including situations where there is a covariate,Not-Related
Down regulation of glutathione and glutamate cysteine ligase in the inflammatory response of macrophages,SDG-Related
Detection of HNE Modification of Proteins in Aging Mouse Tissues: A Western Blot-Based Approach,SDG-Related
Targeting oxidative stress in disease: promise and limitations of antioxidant therapy,SDG-Related
Multimodal X-ray nano-spectromicroscopy analysis of chemically heterogeneous systems,SDG-Related
Age-related alteration in HNE elimination enzymes,Not-Related
Green hydrogen to tackle the power curtailment: Meteorological data-based capacity factor and techno-economic analysis,Sustainability-Focused
Development and evaluation of FINEX off-gas capture and utilization processes for sustainable steelmaking industry,Sustainability-Focused
Identification of sustainable carbon capture and utilization (CCU) pathways using state-task network representation,Sustainability-Focused
A systematic design of integrated palm-oil biorefinery networks: Identifying sustainable solutions,Sustainability-Focused
Stochastic programming of energy system operations considering terminal energy storage levels,Sustainability-Focused
Applying real options with reinforcement learning to assess commercial CCU deployment,Sustainability-Focused
Techno-economic analysis of solar powered green hydrogen system based on multi-objective optimization of economics and productivity,Sustainability-Focused
"Multi-period, multi-timescale stochastic optimization model for simultaneous capacity investment and energy management decisions for hybrid Micro-Grids with green hydrogen production under uncertainty",Sustainability-Focused
Techno-economic analysis for design and management of international green hydrogen supply chain under uncertainty: An integrated temporal planning approach,Sustainability-Focused
"Synthesis of carbon capture, utilization, and sequestration processing pathways using state-task network representation",Sustainability-Focused
Direct CO2 mineralization using seawater reverse osmosis brine facilitated by hollow fiber membrane contactor,Sustainability-Focused
Evaluating the efficiency and cost-effectiveness of RPB-based CO2 capture: A comprehensive approach to simultaneous design and operating condition optimization,Sustainability-Focused
Optimizing green hydrogen systems: Balancing economic viability and reliability in the face of supply-demand volatility,Sustainability-Focused
Green hydrogen vs green ammonia: A hierarchical optimization-based integrated temporal approach for comparative techno-economic analysis of international supply chains,Sustainability-Focused
Synthesis of nano-calcium carbonate from waste cement and techno-economic and environmental evaluation,Sustainability-Focused
Optimizing economic feasibility of CO2 capture processes with rotating packed bed (RPB): Strategies for scale and modularization,Sustainability-Focused
Optimal design of offshore wind power farm in high resolution using geographical information system,SDG-Related
Machine learning in process systems engineering: Challenges and opportunities,SDG-Related
A computational-fluid-dynamics study on scaling up a single flat membrane reactor for on-site hydrogen production,SDG-Related
Enhancing the economic viability and reliability of renewables based electricity supply through Power-to-Gas-to-Power with green hydrogen,SDG-Related
A design study on a flat membrane-reactor stack for on-site hydrogen production,SDG-Related
A 3D CFD study on the effects of feed spacer designs on membrane performance for high-permeance RO membranes,Not-Related
Embedding active learning in batch-to-batch optimization using reinforcement learning,Not-Related
Statistical Kinetic Modeling Procedure to Predict Exo-Olefin Content in Cationic Polymerization and Its Application to Polyisobutylene,Not-Related
Simultaneous extraction of intra- and inter-cycle features for predicting lithium-ion battery's knees using convolutional and recurrent neural networks,Not-Related
Non-myopic Bayesian optimization using model-free reinforcement learning and its application to optimization in electrochemistry,Not-Related
Hybrid modeling of vacuum swing adsorption carbon capture process for rapid process-level evaluation of adsorbents,Not-Related
The Relationship Between Socioeconomic Status and Brain Volume in Children and Adolescents With Prenatal Alcohol Exposure,SDG-Related
Intervention to reduce carbapenem-resistant Acinetobacter baumannii in a neonatal intensive care unit,SDG-Related
SENTINEL1: Two-Season Study of Respiratory Syncytial Virus Hospitalizations among US. Infants Born at 29 to 35 Weeks' Gestational Age Not Receiving Immunoprophylaxis,SDG-Related
Current knowledge of Chagas-related heart disease among pediatric cardiologists in the United States,SDG-Related
Increased viral variants in children and young adults with impaired humoral immunity and persistent SARS-CoV-2 infection: A consecutive case series,SDG-Related
Saliva is a promising alternative specimen for the detection of SARS-CoV-2 in children and adults,SDG-Related
Early exposure to antibiotics in the neonatal intensive care unit alters the taxonomic and functional infant gut microbiome,SDG-Related
Decrease in Pediatric Invasive Pneumococcal Disease During the COVID-19 Pandemic,SDG-Related
SARS-CoV-2-specific T cell memory with common TCRαβ motifs is established in unvaccinated children who seroconvert after infection,SDG-Related
Global health electives in the COVID-19 era: resuming travel and strengthening global health academic partnerships,SDG-Related
Twelve-Month Longitudinal Serology in SARS-CoV-2 Naïve and Experienced Vaccine Recipients and Unvaccinated COVID-19-Infected Individuals,SDG-Related
Clinical manifestations of COVID-19 differ by age and obesity status,SDG-Related
Effectiveness of BNT162B2 Vaccine against Critical Covid-19 in Adolescents,SDG-Related
"Effectiveness of BNT162b2 (Pfizer-BioNTech) mRNA Vaccination Against Multisystem Inflammatory Syndrome in Children Among Persons Aged 12-18 Years - United States, July-December 2021",SDG-Related
"BNT162b2 mRNA Vaccination Against Coronavirus Disease 2019 is Associated With a Decreased Likelihood of Multisystem Inflammatory Syndrome in Children Aged 5-18 Years - United States, July 2021 - April 2022",SDG-Related
Factors Associated With COVID-19 Non-vaccination in Adolescents Hospitalized Without COVID-19,SDG-Related
Extracorporeal Membrane Oxygenation Characteristics and Outcomes in Children and Adolescents With COVID-19 or Multisystem Inflammatory Syndrome Admitted to U.S. ICUs,SDG-Related
Effect of wash media type during PBMC isolation on downstream characterization of SARS-CoV-2-specific T cells,SDG-Related
Characteristics and Clinical Outcomes of Vaccine-Eligible US Children Under-5 Years Hospitalized for Acute COVID-19 in a National Network,SDG-Related
Detection of SARS-CoV-2-Specific Secretory IgA and Neutralizing Antibodies in the Nasal Secretions of Exposed Seronegative Individuals,SDG-Related
SARS-CoV-2 Variants May Affect Saliva RT-PCR Assay Sensitivity,SDG-Related
Quantification and incorporation of geomechanical risks in optimization ofgeologic co2 storage using coupled-physics models,Sustainability-Focused
"Groundwater extraction-induced seismicity around Delhi region, India",Sustainability-Focused
Assessment of Unconventional Resources Opportunities in the Middle East Tethyan Petroleum System in a Transfer Learning Context,Sustainability-Focused
Thermal and solubility effects on fault leakage during geologic carbon storage,Sustainability-Focused
Diagnostic and predictive analysis of production and injection-induced fault activation,Sustainability-Inclusive
TOWARDS A POROELASTODYNAMICS FRAMEWORK FOR INDUCED EARTHQUAKES: EFFECT OF PORE PRESSURE ON FAULT SLIP,Sustainability-Focused
Role of CO2 in geomechanical alteration of Morrow Sandstone across micro–meso scales,Sustainability-Focused
Delhi urbanization footprint and its effect on the earth’s subsurface state-of-stress through decadal seismicity modulation,Sustainability-Focused
A coupled multiphase poromechanics-damage mechanics framework for fracture modeling during injection,SDG-Related
Effect of Poroelastic Coupling and Fracture Dynamics on Solute Transport and Geomechanical Stability,SDG-Related
Revisiting 2013-2014 Azle seismicity to understand the role of Barnett production on stress propagation and fault stability,SDG-Related
Repurposing Idle Oil and Gas Wells for Large-Scale Subsurface Energy Storage in Saline Aquifers,SDG-Related
Failure analysis of the edge-notched beam test on fluid-exposed Berea Sandstone,SDG-Related
Physics-informed machine learning for fault-leakage reduced-order modeling,SDG-Related
Role of Inelasticity in Production-Induced Subsidence and Fault Reactivation in the Groningen Field,SDG-Related
A Deep Learning-Based Surrogate Model for Rapid Assessment of Geomechanical Risks in Geologic CO2 Storage,SDG-Related
Coupling between transport and geomechanics affects spreading and mixing during viscous fingering in deformable aquifers,Not-Related
Quantification of fault leakage dynamics based on leakage magnitude and dip angle,Not-Related
Relative impacts of permeability heterogeneity and viscosity contrast on solute mixing,Not-Related
Transport analysis in deformable porous media through integral transforms,Not-Related
A two-grid simulation framework for fast monitoring of fault stability and ground deformation in multiphase geomechanics,Not-Related
Multi-stage hydraulic fracture monitoring at the lab scale,Not-Related
Influence of initial plume shape on miscible porous media flows under density and viscosity contrasts,Not-Related
Gravity-induced seismicity modulation on planetary bodies and their natural satellites,Not-Related
Probabilistic assessment of scalar transport under hydrodynamically unstable flows in heterogeneous porous media,Not-Related
Crack propagation and stress evolution in fluid-exposed limestones,Not-Related
The Effects of Coexposure to Extremes of Heat and Particulate Air Pollution on Mortality in California Implications for Climate Change,Sustainability-Focused
Ambient temperature and air pollution associations with suicide and homicide mortality in California: A statewide case-crossover study,Sustainability-Focused
Adaptation Resources and Responses to Wildfire Smoke and Other Forms of Air Pollution in Low-Income Urban Settings: A Mixed-Methods Study,Sustainability-Focused
Characterizing Ozone Sensitivity to Urban Greening in Los Angeles Under Current Day and Future Anthropogenic Emissions Scenarios,Sustainability-Focused
Albedo as a Competing Warming Effect of Urban Greening,Sustainability-Focused
"A machine learning framework to estimate residential electricity demand based on smart meter electricity, climate, building characteristics, and socioeconomic datasets",Sustainability-Focused
Does socioeconomic and environmental burden affect vulnerability to extreme air pollution and heat? A case-crossover study of mortality in California,Sustainability-Focused
Using an Explainable Machine Learning Approach to Characterize Earth System Model Errors: Application of SHAP Analysis to Modeling Lightning Flash Occurrence,SDG-Related
A single-point modeling approach for the intercomparison and evaluation of ozone dry deposition across chemical transport models (Activity 2 of AQMEII4),SDG-Related
Biogeochemical Fluxes of Nickel in the Global Oceans Inferred From a Diagnostic Model,SDG-Related
Downscaling atmospheric chemistry simulations with physically consistent deep learning,Not-Related
Interpretable conservation laws as sparse invariants,Not-Related
Electrocatalytic CO2 reduction to formate by a cobalt phosphino-thiolate complex,Sustainability-Focused
Electronically Modified Cobalt Aminopyridine Complexes Reveal an Orthogonal Axis for Catalytic Optimization for CO2Reduction,SDG-Related
Effects of Protonation State on Electrocatalytic CO2Reduction by a Cobalt Aminopyridine Macrocyclic Complex,SDG-Related
Hydrogen Evolving Activity of Dithiolene-Based Metal-Organic Frameworks with Mixed Cobalt and Iron Centers,SDG-Related
"Influence of Intermolecular Hydrogen Bonding Interactions on the Electrocatalytic Reduction of CO2 to CO by 6,6′-Amine Substituted Rhenium Bipyridine Complexes",SDG-Related
Primary- and secondary-sphere effects of amine substituent position on rhenium bipyridine electrocatalysts for CO2 reduction,SDG-Related
Switching Catalyst Selectivity via the Introduction of a Pendant Nitrophenyl Group,SDG-Related
The Positional Effect of an Immobilized Re Tricarbonyl Catalyst for CO2 Reduction,SDG-Related
Electrocatalytic syngas generation with a redox non-innocent cobalt 2-phosphinobenzenethiolate complex,Not-Related
"Cu[Ni(2,3-pyrazinedithiolate)2] Metal-Organic Framework for Electrocatalytic Hydrogen Evolution",Not-Related
Improving and Understanding the Hydrogen Evolving Activity of a Cobalt Dithiolene Metal-Organic Framework,Not-Related
Electronically-coupled redox centers in trimetallic cobalt complexes,Not-Related
Engineering design of neural network architectures for estimation of inter-well connectivity and production performance,Sustainability-Focused
Deep learning-based predictive control for geothermal operations,Sustainability-Focused
A neural network model with connectivity-based topology for production prediction in complex subsurface flow systems,Sustainability-Focused
"Closed-loop stochastic oilfield optimization for hedging against geologic, development, and operation uncertainty",SDG-Related
Stochastic closed-loop reservoir management under uncertain predictions and development plans,SDG-Related
A reduced random sampling strategy for fast robust well placement optimization,SDG-Related
Sparse Neural Networks for Inference of Interwell Connectivity and Production Prediction,SDG-Related
Deep Convolutional Autoencoders for Robust Flow Model Calibration Under Uncertainty in Geologic Continuity,SDG-Related
Inference of Rock Flow and Mechanical Properties from Injection-Induced Microseismic Events During Geologic CO2 Storage,SDG-Related
Optimization of energy production from geothermal reservoirs using physics-based and data-driven models,SDG-Related
Recurrent neural networks for short-term and long-term prediction of geothermal reservoirs,SDG-Related
Efficient Robust Production Optimization with Reduced Sampling,SDG-Related
Latent-Space Dynamics for Prediction and Fault Detection in Geothermal Power Plant Operations,SDG-Related
A Physics-Guided Deep Learning Predictive Model for Robust Production Forecasting and Diagnostics in Unconventional Wells,SDG-Related
A multiscale recurrent neural network model for predicting energy production from geothermal reservoirs,SDG-Related
Efficient Optimization of Energy Recovery From Geothermal Reservoirs With Recurrent Neural Network Predictive Models,SDG-Related
Optimization of Multi-Unit Geothermal Power Plants with Neural Network Models,SDG-Related
A Multiscale Neural Network Model for Long-Term Prediction of Geothermal Energy Production,SDG-Related
Physics-Guided Deep Learning for Prediction of Energy Production from Geothermal Reservoirs,SDG-Related
Dynamic Physics-Guided Deep Learning for Production Forecasting in Unconventional Reservoirs,SDG-Related
Efficient data-driven models for prediction and optimization of geothermal power plant operations,SDG-Related
Dynamic Physics-Guided Deep Learning for Long-Term Production Forecasting in Unconventional Reservoirs,SDG-Related
Spatio-temporal neural networks for monitoring and prediction of CO2 plume migration from measurable field data,SDG-Related
Improving the Parameterization of Complex Subsurface Flow Properties With Style-Based Generative Adversarial Network (StyleGAN),SDG-Related
Convolutional neural networks (CNN) for feature-based model calibration under uncertain geologic scenarios,Not-Related
Reducing uncertainty in conceptual prior models of complex geologic systems via integration of flow response data,Not-Related
Rapid Production Forecasting with Geologically-Informed Auto-RegressiveModels: Application to Volve Benchmark Model,Not-Related
History matching with generative adversarial networks,Not-Related
History matching under uncertain geologic scenarios with variational autoencoders,Not-Related
Rapid production forecasting with geologically-informed auto-regressive models: Application to volve benchmark model,Not-Related
Editorial: Data Science Applications to Inverse and Optimization Problems in Earth Science,Not-Related
Integrating Deep Learning and Physics-Based Models for Improved Production Prediction in Unconventional Reservoirs,Not-Related
Investigating Transfer Learning for Characterization and Performance Prediction in Unconventional Reservoirs,Not-Related
Deep learning for latent space data assimilation LSDA in subsurface flow systems,Not-Related
Active Learning for Well Control Optimization with Surrogate Models,Not-Related
Deep Learning for Latent Space Data Assimilation in Subsurface Flow Systems,Not-Related
Transfer Learning with Recurrent Neural Networks for Long-Term Production Forecasting in Unconventional Reservoirs,Not-Related
Conditioning generative adversarial networks on nonlinear data for subsurface flow model calibration and uncertainty quantification,Not-Related
Latent-space inversion (LSI): a deep learning framework for inverse mapping of subsurface flow data,Not-Related
Adversarial Strategies for Improved Geologic Consistency in Feature-Based Parameterization,Not-Related
Transfer Learning with Recurrent Neural Networks for Long-term Production Forecasting in Unconventional Reservoirs,Not-Related
Physics-Assisted Transfer Learning for Production Prediction in Unconventional Reservoirs,Not-Related
Long–short-term memory encoder–decoder with regularized hidden dynamics for fault detection in industrial processes,Not-Related
Identifying and Ranking Multiple Source Models for Transfer Learning in Unconventional Reservoirs,Not-Related
Embedding Physical Flow Functions into Deep Learning Predictive Models for Improved Production Forecasting,Not-Related
A Dynamic Residual Learning Approach to Improve Physics-Constrained Neural Network Predictions in Unconventional Reservoirs,Not-Related
Deep Learning-Based Multiresolution Parameterization for Spatially Adaptive Model Updating,Not-Related
Residual learning to integrate neural network and physics-based models for improved production prediction in unconventional reservoirs,Not-Related
Transfer Learning with Multiple Aggregated Source Models in Unconventional Reservoirs,Not-Related
Neural Network-Assisted Clustering for Improved Production Predictions in Unconventional Reservoirs,Not-Related
Graph attention network with Granger causality map for fault detection and root cause diagnosis,Not-Related
Transfer Learning with Prior Data-Driven Models from Multiple Unconventional Fields,Not-Related
Physics-Guided Deep Learning for Improved Production Forecasting in Unconventional Reservoirs,Not-Related
"Age, sex, and cerebral microbleeds in EFAD Alzheimer disease mice",SDG-Related
"Governing complexity: Integrating science, governance, and law to manage accelerating change in the globalized commons",Sustainability-Focused
Climate adaptation law and policy in the United States,Sustainability-Focused
How law structures public participation in environmental decision making: A comparative law approach,Sustainability-Focused
Unpacking notions of residents' responsibility in flood risk governance,Sustainability-Focused
"Promoting ""Climate Change Plus"" Industries Through the Administrative State: The Case of Marine Aquaculture",Sustainability-Focused
Towards a global sustainable development agenda built on social-ecological resilience,Sustainability-Focused
"FISH, WHALES, AND A BLUE ETHICS FOR THE ANTHROPOCENE: HOW DO WE THINK ABOUT THE LAST WILD FOOD IN THE TWENTY-FIRST CENTURY?",Sustainability-Focused
Remembering the ocean in water law,Sustainability-Focused
"Multi-scale and multi-level dynamics shape the resilience and sustainability of the Columbia River Basin, USA",Sustainability-Focused
