 ,authorIDs,affiliations,fullnames,firstnames,lastnames,depts,divs,Number_of_IDs,COMBINE_TF,Div_Same_TF,OTHER ROW MATCHES,combine (duplicate the row if there are multiple combines),First Name_With_Middle,First Name,Last Name,"Full Name(Last, First Middle)",Notes
Camarena A.,57192153053###57204091291,"Camarena A., Zhilka Neurogenetic institute, University of Southern California, 1501 San Pablo St, Los Angeles, 90033, CA, United States, University of Chicago, Pritzker School of Medicine 924 E 57th St Suite 104, Chicago, 60637, IL, United States;Camarena A., Department of Psychiatry and the Behavioral Sciences, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Camarena A., University of Southern California, Los Angeles, CA, United States###Camarena A., Auditory Research Center, Caruso Department of Otolaryngology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States, Neuroscience Graduate Program, University of Southern California, Los Angeles, CA, United States;Camarena A., Auditory Research Center, Caruso Department of Otolaryngology, Keck School of Medicine, University of Southern California, Los Angeles, 90033, CA, United States","Camarena, Adrian (57192153053)###Camarena, Andres (57204091291)", Adrian### Andres,Camarena###Camarena,Psychiatry and Behavioral Sciences###Neuroscience;Otolaryngology,Keck Medicine of USC###Dornsife College of Letters Arts and Sciences;Keck Medicine of USC,2,FALSE,FALSE,,,,,,,
Cameron M.J.,57218558509###57225308798,"Cameron M.J., University of Southern California, United States###Cameron M.J., University of Southern California, Los Angeles, CA, United States","Cameron, Michael J. (57218558509)###Cameron, Michael J. (57225308798)", Michael J.### Michael J.,Cameron###Cameron,###,###,2,TRUE,TRUE,,57218558509###57225308798,Michael J,Michael,Cameron,"Cameron, Michael",
Campbell J.,57204825097###7404876671,"Campbell J., University of Southern California, Department of Electrical and Computer Engineering, Los Angeles, CA, United States;Campbell J.D., Ming Hsieh Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, 90089, CA, United States;Campbell J.D., University of Southern California, Los Angeles, CA, United States;Campbell J.D., University of Southern California, CA, United States;Campbell J.D., University of Southern California, Los Angeles, 90007, CA, United States;Campbell J.D., University of Southern California, Microwave Systems, Sensors, and Imaging Laboratory (MiXIL), Department of Electrical and Computer Engineering, Los Angeles, 90007, CA, United States###Campbell J., Department of Biomedical Engineering, University of Southern California, 1042 Downey Way, Los Angeles, 90089, CA, United States, Michelson Center for Convergent Biosciences, 1002 Child’s Way, Los Angeles, 90089, CA, United States;Campbell J.L., Department of Biomedical Engineering, University of Southern California, 1002 Childs Way, Los Angeles, 90089, CA, United States","Campbell, James (57204825097)###Campbell, Jos (7404876671)", James### Jos,Campbell###Campbell,Electrical and Computer Engineering###Biomedical Engineering,Viterbi School of Engineering###Viterbi School of Engineering,2,FALSE,TRUE,,,,,,,
Cannon J.,56015128600###57997042900,"Cannon J., USC Division of Biokinesiology & Physical Therapy, University of Southern California, Los Angeles, CA, United States;Cannon J., Musculoskeletal Biomechanics Research Laboratory, University of Southern California, Los Angeles, CA, United States;Cannon J., Spine Biomechanics Laboratory, Department of Kinesiology, University of Waterloo, 200 University Avenue, Waterloo, N2L 3G1, ON, Canada, Musculoskeletal Biomechanics Research Laboratory, Division of Biokinesiology and Physical Therapy, University of Southern California, Los Angeles, CA, United States;Cannon J., Musculoskeletal Biomechanics Research Laboratory, Division of Biokinesiology and Physical Therapy, University of Southern California, Los Angeles, CA, United States;Cannon J., Musculoskeletal Biomechanics Research Laboratory, Division of Biokinesiology and Physical Therapy, University of Southern California, 1540 East Alcazar St, Los Angeles, CHP-155, CA, United States;Cannon J., Department of Integrative Anatomical Sciences, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Cannon J., Jacquelin Perry Musculoskeletal Biomechanics Research Laboratory, Division of Biokinesiology and Physical Therapy, University of Southern California, Los Angeles, CA, United States###","Cannon, Jordan (56015128600)###Cannon Jennifer", Jordan###Jennifer,Cannon###Cannon,Division of Biokinesiology and Physical Therapy;Integrative Anatomical Sciences###Norris Comprehensive Cancer Center,Herman Ostrow School of Dentistry of USC;Keck Medicine of USC###Keck Medicine of USC,2,FALSE,FALSE,,,,,,,
Cao C.,55316751700###57215824408###57219814763,"Cao C., Department of Otolaryngology-Head and Neck Surgery, Norris Comprehensive Cancer Center, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States###Cao C., Department of Pediatrics, Los Angeles County + University of Southern California Medical Center, Keck School of Medicine, Los Angeles, CA, United States###Cao C., Stevens Neuroimaging and Informatics Institute, Laboratory of Neuro Imaging, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States, UCLA Brain Research & Artificial Intelligence Nexus, Department of Neurobiology, David Geffen School of Medicine, University of California, Los Angeles, CA, United States;Cao C., Stevens Neuroimaging and Informatics Institute, Laboratory of Neuro Imaging, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States, UCLA Brain Research & Artificial Intelligence Nexus, Department of Neurobiology, David Geffen School of Medicine, University of California Los Angeles, Los Angeles, CA, United States;Cao C., UCLA Brain Research and Artificial Intelligence Nexus, Department of Neurobiology, David Geffen School of Medicine at UCLA, Los Angeles, CA, United States, Mark and Mary Stevens Institute for Neuroimaging and Informatics, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States","Cao, Christine (55316751700)###Cao, Christopher (57215824408)###Cao, Chunru (57219814763)", Christine### Christopher### Chunru,Cao###Cao###Cao,Norris Comprehensive Cancer Center;Otolaryngology###Pediatrics###Biological Sciences;Mark and Mary Stevens Neuroimaging and Informatics Institute (INI),Keck Medicine of USC###Keck Medicine of USC###Dornsife College of Letters Arts and Sciences;Keck Medicine of USC,3,FALSE,FALSE,,,,,,,
Cao L.,57225990758###57966595500,"Cao L., Computational Neuro-Rehabilitation Laboratory, Department of Biokinesiology and Physical Therapy, University of Southern California, Los Angeles, CA, United States###Cao L., Brain and Creativity Institute and USC Chan Division of Occupational Science and Occupational Therapy, University of Southern California, 3620A McClintock Avenue, Los Angeles, 90089-2921, CA, United States, Center for the Developing Brain, Child Mind Institute, New York, NY, United States","Cao, Laura (57225990758)###Cao, Lei (57966595500)", Laura### Lei,Cao###Cao,Division of Biokinesiology and Physical Therapy###Brain and Creativity Institute;Chan Division of Occupational Science and Occupational Therapy,Herman Ostrow School of Dentistry of USC###Dornsife College of Letters Arts and Sciences;Herman Ostrow School of Dentistry of USC,2,FALSE,FALSE,,,,,,,
Cao S.,56564660200###57220924649,"Cao S., Department of Preventive Medicine, Norris Comprehensive Cancer Center, University of Southern California, Los Angeles, 90033, CA, United States;Cao S., Department of Preventive Medicine, Norris Comprehensive Cancer Center, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Cao S., Division of Medical Oncology, Norris Comprehensive Cancer Center, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Cao S., Department of Preventive Medicine, Norris Comprehensive Cancer Center, Keck School of Medicine, University of Southern California, 1441 Eastlake Avenue, Los Angeles, 90033, CA, United States;Cao S., Biostatistics Core, Norris Comprehensive Cancer Center, University of Southern California, Los Angeles, 90033, CA, United States###Cao S., University of Southern California (USC), United States","Cao, Shu (56564660200)###Cao, Song (57220924649)", Shu### Song,Cao###Cao,Norris Comprehensive Cancer Center;Population and Public Health Sciences###,Keck Medicine of USC###,2,FALSE,FALSE,,,,,,,
Cao Y.,56115020300###57189663041###57193434071###57221789044,"Cao Y., Department of Electrical Engineering, University of Southern California, Los Angeles, 90089, CA, United States;Cao Y., University of Southern California, Department of Electrical Engineering, Los Angeles, United States;Cao Y., Ming Hsieh Department of Electrical Engineering, University of Southern California, 3740 McClintock Ave, Los Angeles, 90089, CA, United States;Cao Y., Dept. of Electrical Engineering, University of Southern California, Los Angeles, 90089, CA, United States;Cao Y., Ming Hsieh Department of Electrical Engineering, University of Southern California, Los Angeles, 90089, CA, United States###Cao Y., Department of Industrial and Systems Engineering, University of Southern California, Los Angeles, 90089, CA, United States###Cao Y., Ming Hsieh Department of Electrical and Computer Engineering - Electrophysics, University of Souther California, Los Angeles, 90007, CA, United States;Cao Y., Michigan State University, East Lansing, MI, United States, University of Southern California, Los Angeles, CA, United States###Cao Y., Department of Radiation Oncology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Cao Y., Department of Radiation Oncology, Medical Physics Division, Norris Cancer Hospital, Keck School of Medicine, University of Southern California, 1441 Eastlake Ave., Los Angeles, 90033, CA, United States","Cao, Yinwen (56115020300)###Cao, Yang (57189663041)###Cao, Yunqi (57193434071)###Cao, Yufeng (57221789044)", Yinwen### Yang### Yunqi### Yufeng,Cao###Cao###Cao###Cao,Electrical and Computer Engineering###Industrial and Systems Engineering###Electrical and Computer Engineering###Radiation Oncology,Viterbi School of Engineering###Viterbi School of Engineering###Viterbi School of Engineering###Keck Medicine of USC,4,FALSE,FALSE,,,,,,,
Cash J.C.,56125615900###57814804800,"Cash J.C., Division of Cardiothoracic Surgery, USC Keck School of Medicine, Los Angeles, CA, United States###Cash J.C., Comprehensive Aortic Center, Keck Hospital of USC, University of Southern California, Los Angeles, CA","Cash, J. Christian (56125615900)###Cash, Jonathan C. (57814804800)", J. Christian### Jonathan C.,Cash###Cash,###,Keck Medicine of USC###,2,FALSE,FALSE,,56125615900###57814804800,Jonathan Christian,Jonathan,Cash,"Cash, Jonathan",
Castillo P.,57218606615###57223805217,"Castillo P., Department of Pediatrics, USC Keck School of Medicine, Los Angeles, United States, Children’s Hospital Los Angeles, Los Angeles, United States###Castillo P., University of Southern California, United States","Castillo, Patricia (57218606615)###Castillo, Patricia (57223805217)", Patricia### Patricia,Castillo###Castillo,Children's Hospital Los Angeles;Pediatrics###,Keck Medicine of USC###,2,TRUE,FALSE,,57218606615###57223805217,Patricia,Patricia,Castillo,"Castillo, Patricia",
Cha A.,57216706389###57982647400,"Cha A., Children's Hospital Los Angeles, University of Southern California, Los Angeles, CA, United States###Cha A., Department of Biological Sciences, University of Southern California, Los Angeles, CA, United States, Department of Chemistry, University of Southern California, Los Angeles, CA, United States","Cha, Angela (57216706389)###Cha, Aileen (57982647400)", Angela### Aileen,Cha###Cha,Children's Hospital Los Angeles###Biological Sciences;Chemistry,Keck Medicine of USC###Dornsife College of Letters Arts and Sciences,2,FALSE,FALSE,,,,,,,
Chai Y.,56519050700###57203424922,"Chai Y., CIBORG Laboratory, Department of Radiology, Children's Hospital Los Angeles, Los Angeles, CA, United States, Department of Biomedical Engineering, University of Southern California, Los Angeles, CA, United States;Chai Y., Department of Biomedical Engineering, University of Southern California, Los Angeles, 90007, CA, United States, CIBORG Laboratory, Department of Radiology, Children's Hospital Los Angeles, Los Angeles, 90027, CA, United States;Chai Y., Stevens Neuroimaging and Informatics Institute, Keck School of Medicine University of Southern, Los Angeles, CA, United States;Chai Y., CIBORG Laboratory, Department of Radiology, Children's Hospital Los Angeles, Los Angeles, CA, United States, Department of Radiology, Children's Hospital Los Angeles, Los Angeles, CA, United States, Department of Biomedical Engineering, University of Southern California, Los Angeles, CA, United States;Chai Y., Stevens Neuroimaging and Informatics Institute, Keck School of Medicine, University of Southern California, Los Angeles, 90031, CA, United States;Chai Y., Department of Biomedical Engineering, University of Southern California, Los Angeles, CA, United States, Department of Radiology, CIBORG Laboratory, Children's Hospital Los Angeles, Los Angeles, CA, United States;Chai Y., USC Mark and Mary Stevens Neuroimaging and Informatics Institute, Keck School of Medicine of USC, University of Southern California, Los Angeles, CA, United States###Chai Y., Center for Craniofacial Molecular Biology, University of Southern California, 2250 Alcazar Street, CSA 103, Los Angeles, 90033, CA, United States;Chai Y., Center for Craniofacial Molecular Biology, University of Southern California (USC), Los Angeles, CA, United States;Chai Y., Center for Craniofacial Molecular Biology, Herman Ostrow School of Dentistry, University of Southern California, Los Angeles, 90033, CA, United States;Chai Y., Center for Craniofacial Molecular Biology, University of Southern California, Herman Ostrow School of Dentistry, Los Angeles, 90089, CA, United States;Chai Y., Center for Craniofacial Molecular Biology, University of Southern California, Los Angeles, 90033, CA, United States;Chai Y., Center for Craniofacial Molecular Biology, School of Dentistry, University of Southern California, Los Angeles, CA, United States;Chai Y., Center for Craniofacial Molecular Biology, University of Southern California, Los Angeles, United States;Chai Y., Center for Craniofacial Molecular Biology, Herman Ostrow School of Dentistry, University of Southern California, Los Angeles, CA, United States;Chai Y., Center for Craniofacial Molecular Biology, University of Southern California, Los Angeles, Los Angeles, United States;Chai Y., Center for Craniofacial Molecular Biology, University of Southern California, 2250 Alcazar St, Los Angeles, 90089, CA, United States;Chai Y., Center for Craniofacial Molecular Biology, Ostrow School of Dentistry, University of Southern California, Los Angeles, CA 90033, USA;Chai Y., Center for Craniofacial Molecular Biology, University of Southern California, Los Angeles, CA, United States;Chai Y., Center for Craniofacial Molecular Biology, University of Southern California, Los Angeles, CA, United States, Ostrow School of Dentistry, University of Southern California, Los Angeles, CA, United States;Chai Y., Ostrow School of Dentistry, Center for Craniofacial Molecular Biology, University of Southern California, Los Angeles, CA, United States;Chai Y., Center for Craniofacial Molecular Biology, Herman Ostrow School of Dentistry, University of Southern California, Los Angeles, 90007, CA, United States","Chai, Yaqiong (56519050700)###Chai, Yang (57203424922)", Yaqiong### Yang,Chai###Chai,Children's Hospital Los Angeles;Mark and Mary Stevens Neuroimaging and Informatics Institute (INI);Radiology;Biomedical Engineering;Robotics and Autonomous Systems Center (RASC)###Center for Craniofacial Molecular Biology,Keck Medicine of USC;Viterbi School of Engineering###Herman Ostrow School of Dentistry of USC,2,FALSE,FALSE,,,,,,,
Chan A.,57195415267###57212198657,"Chan A., University of Southern California, United States###Chan A., University of Southern California, Dana and David Dornsife College of Letters, Arts and Sciences, Harborview Injury Prevention and Research Center, 468 N 43rd St, Seattle, 98103, WA, United States, Harborview Injury Prevention and Research Center, 401 Broadway, Box 359960, Seattle, 98104, WA, United States","Chan, Aaron (57195415267)###Chan, Anissa (57212198657)", Aaron### Anissa,Chan###Chan,###,###Dornsife College of Letters Arts and Sciences,2,FALSE,FALSE,,,,,,,
Chan C.,57219663581###57222028392###57222221569,"Chan C., Herman Ostrow School of Dentistry of USC, University of Southern California, Los Angeles, CA, United States;Chan C., Dental Public Health & Community Outreach, Herman Ostrow School of Dentistry of University of Southern California, Los Angeles, CA, United States###Chan C., Division of Oral and Maxillofacial Surgery, University of Southern California, Los Angeles, CA, United States###Chan C., Department of Neurology, Keck School of Medicine of University of Southern California, Los Angeles, CA, United States;Chan C., Statistics, Division of Dental Public Health and Pediatric Dentistry, University of Southern California, Los Angeles, CA, United States","Chan, Chan (57219663581)###Chan, C. (57222028392)###Chan, Chan (57222221569)", Chan### C.### Chan,Chan###Chan###Chan,Dental Clinic###Oral and Maxillofacial Surgery###Pediatric Dentistry;Neurology,Herman Ostrow School of Dentistry of USC###Herman Ostrow School of Dentistry of USC###Herman Ostrow School of Dentistry of USC;Keck Medicine of USC,3,FALSE,FALSE,,57219663581###57222221569,Chan,Chan,Chan,"Chan, Chan",
Chan J.,57226675964###57317319900,"Chan J., USC Department of Neurosurgery, Keck School of Medicine of the University of Southern California, Los Angeles, California;Chan J., Department of Neurosurgery, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Chan J., Department of Neurosurgery, Keck School of Medicine of the University of Southern California, Los Angeles, CA, United States;Chan J., Department of Neurosurgery, Keck School of Medicine of USC, Los Angeles, CA, United States###Chan J., Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Chan J., Keck School of Medicine, University of Southern California, United States","Chan, Justin (57226675964)###Chan, Justin (57317319900)", Justin### Justin,Chan###Chan,###,Keck Medicine of USC###Keck Medicine of USC,2,TRUE,TRUE,,57226675964###57317319900,Justin,Justin,Chan,"Chan, Justin",
Chan P.,57188991533###57414182200,"Chan P., Department of Neurology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Chan P., Department of Biochemistry and Molecular Medicine, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States, Norris Comprehensive Cancer Center, University of Southern California, Los Angeles, CA, United States;Chan P., Department of Neurology, Keck School of Medicine, University of Southern California, Los Angeles, CA 90089###Chan P., Department of Internal Medicine, Keck School of Medicine of USC, Los Angeles, CA, United States","Chan, Priscilla (57188991533)###Chan, Patrick (57414182200)", Priscilla### Patrick,Chan###Chan,Biochemistry and Molecular Medicine;Neurology;Norris Comprehensive Cancer Center###,Keck Medicine of USC###Keck Medicine of USC,2,FALSE,TRUE,,,,,,,
Chang A.,57202040345###57219906772###57220029735###57894589100,"Chang A., University of Southern California, Viterbi School of Engineering, Astronautical Engineering, United States###Chang A., Titus Family Department of Clinical Pharmacy, University of Southern, California School of Pharmacy, Los Angeles, CA, United States###Chang A., Diagnostic Sciences, Herman Ostrow School of Dentistry, University of Southern California, Los Angeles, 90089, CA, United States###Chang A., University of Southern California, Computer Science Department, Los Angeles, United States","Chang, Alexander (57202040345)###Chang, Arnold (57219906772)###Chang, Andrea (57220029735)###Chang, Allen (57894589100)", Alexander### Arnold### Andrea### Allen,Chang###Chang###Chang###Chang,Astronautical Engineering###Titus Family Department of Clinical Pharmacy######Computer Science,Viterbi School of Engineering###Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences###Herman Ostrow School of Dentistry of USC###Viterbi School of Engineering,4,FALSE,FALSE,,,,,,,
Chang C.-F.,54417107600###56864632100,"Chang C.-F., Department of Medicine, Division of Pulmonary, Critical Care and Sleep Medicine, University of Southern California, 2020 Zonal Avenue, IRD 723, Los Angeles, 90033, CA, United States;Chang C.-F., Department of Pulmonary, Critical Care and Sleep Medicine, University of Southern California, Los Angeles, CA, United States###Chang C.-F., Department of Biomedical Engineering, University of Southern California, Los Angeles, CA, United States","Chang, Ching-Fei (54417107600)###Chang, Chi-Feng (56864632100)", Ching-Fei### Chi-Feng,Chang###Chang,Medicine###Biomedical Engineering,Keck Medicine of USC###Viterbi School of Engineering,2,FALSE,FALSE,,,,,,,
Chang G.,57203900422###57222375641,"Chang G., Department of Surgery, University of Southern California, Los Angeles, CA, United States###Chang G., Keck School of Medicine of USC, USC Student Health, Los Angeles, CA, United States","Chang, Gloria (57203900422)###Chang, Guoxuan (57222375641)", Gloria### Guoxuan,Chang###Chang,Surgery###Student Health,Keck Medicine of USC###Keck Medicine of USC,2,FALSE,TRUE,,,,,,,
Chang J.,57706459200###57793741700###57870265200,"Chang J., University of Southern California, Keck School of Medicine, Department of Ophthalmology, Los Angeles, CA, United States;Chang J., Department of Ophthalmology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Chang J.R., Keck School of Medicine, The University of Southern California, Los Angeles, CA, United States;Chang J.R., USC Roski Eye Institute, Keck School of Medicine of the University of Southern California, Los Angeles, CA, United States;Chang J.R., USC Roski Eye Institute, University of Southern California Keck School of Medicine, Los Angeles, CA, United States;Chang J.R., USC Roski Eye Institute, Department of Ophthalmology, Keck School of Medicine, University of Southern California, Los Angeles, California, United States###Chang J., The Gehr Family Center for Health Systems Science and Innovation, Keck School of Medicine, RAND Corporation, Santa Monica, 90407, CA, United States###Chang J., Annenberg School for Communication and Journalism, University of Southern California, Los Angeles, CA, United States","Chang, Jessica (57706459200)###Chang, Joan (57793741700)###Chang, Jonah (57870265200)", Jessica### Joan### Jonah,Chang###Chang###Chang,Ophthalmology###Gehr Family Center for Health Systems Science###,Keck Medicine of USC###Keck Medicine of USC###Annenberg School for Communication and Journalism,3,FALSE,FALSE,,,,,,,
Chang K.,57188973645###57219419485###57224334525,"Chang K., University of Southern California, Los Angeles, CA, United States###Chang K., Department of Neurological Surgery, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States###Chang K., Los Angeles County + University of Southern California Medical Center, Los Angeles, CA, United States","Chang, Ki (57188973645)###Chang, Ki (57219419485)###Chang, Kate (57224334525)", Ki### Ki### Kate,Chang###Chang###Chang,###Neurological Surgery###,###Keck Medicine of USC###,3,FALSE,FALSE,,57188973645###57219419485,Ki,Ki,Chang,"Chang, Ki",
Chang K.-E.,57188828063###57755897300,"Chang K.-E., Neurological Surgery, Keck School of Medicine, University of Southern California, Los Angeles, CA;Chang K.-E., Department of Neurological Surgery, University of Southern California, Los Angeles, CA, United States;Chang K.-E., Department of Neurological Surgery, Keck School of Medicine, University of Southern California, Los Angeles, United States;Chang K.-E., Department of Neurological Surgery, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States###Chang K.-E., Department of Orthopaedic Surgery, Keck School of Medicine, University of Southern California, 1450 San Pablo St., HC4, Suite 5400A, Los Angeles, 90003, CA, United States","Chang, Ki-Eun (57188828063)###Chang, Ki-Eun (57755897300)", Ki-Eun### Ki-Eun,Chang###Chang,Neurological Surgery###Orthopaedic Surgery,Keck Medicine of USC###Keck Medicine of USC,2,TRUE,TRUE,,57188828063###57755897300,Ki-Eun,Ki-Eun,Chang,"Chang, Ki-Eun",
Chang L.,57114027200###57223274237,"Chang L., Department of Aerospace and Mechanical Engineering, University of Southern California, Los Angeles, 90089-1453, CA, United States;Chang L., Department of Aerospace and Mechanical Engineering, Viterbi School of Engineering, University of Southern California, Los Angeles, 90089, CA, United States;Chang L., Department of Aerospace and Mechanical Engineering, University of Southern California (USC), Los Angeles, 90089-1453, CA, United States###Chang L., The MOSIS Service, Information Sciences Institute, University of Southern California, 4676 Admiralty Way, Marina del Rey, 90292-6601, CA, United States","Chang, Longlong (57114027200)###Chang, Lifu (57223274237)", Longlong### Lifu,Chang###Chang,Aerospace and Mechanical Engineering###Information Sciences Institute,Viterbi School of Engineering###Viterbi School of Engineering,2,FALSE,TRUE,,,,,,,
Chang M.,36843686500###54883355800,"Chang M., Dept. of Radiology, Univ. of Southern California, 1520 San Pablo St., HC2 L1600, Los Angeles, USA, CA, United States###Chang M.Y., University of Southern California, Roski Eye Institute Los Angeles, Los Angeles, CA, United States;Chang M.Y., Children's Hospital Los Angeles, University of Southern California, Los Angeles, CA, United States, Roski Eye Institute, University of Southern California, Los Angeles, CA, United States;Chang M.Y., Children's Hospital of Los Angeles, Roski Eye Institute, University of Southern California, Los Angeles, CA, United States;Chang M.Y., The Vision Center, Children's Hospital of Los Angeles, Los Angeles, CA, United States, Department of Ophthalmology, Roski Eye Center, University of Southern California, Los Angeles, CA, United States;Chang M.Y., Department of Ophthalmology, Vison Center at Children’s Hospital Los Angeles, Los Angeles, CA, United States, Roski Eye Institute, University of Southern California, Los Angeles, CA, United States;Chang M.Y., University of Southern California, Los Angeles, California, Children's Hospital Los Angeles, Los Angeles, California;Chang M.Y., The Vision Center at the Children's Hospital Los Angeles, Los Angeles, California, Roski Eye Center, University of Southern California, Los Angeles, California;Chang M.Y., Children's Hospital of Los Angeles, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Chang M.Y., University of Southern California, Los Angeles, CA, United States, Children's Hospital Los Angeles, Los Angeles, CA, United States;Chang M.Y., Children’s Hospital Los Angeles, University of Southern California, Los Angeles, CA, United States, Roski Eye Institute, University of Southern California, Los Angeles, CA, United States;Chang M., Department of Ophthalmology & Vision Science, University of California Davis Eye Center, Sacramento, CA, United States, Vision Center, Children’s Hospital of Los Angeles, Los Angeles, CA, United States, Roski Eye Institute, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Chang M.Y., Children's Hospital of Los Angeles, Keck School of Medicine, University of Southern California, Los Angeles, California;Chang M., Ophthalmology, Children's Hospital Los Angeles, Los Angeles, CA, United States, Ophthalmology, University of Southern California, Los Angeles, CA, United States;Chang M.Y., The Vision Center, Department of Surgery, Children's Hospital Los Angeles, Los Angeles, CA, United States, Roski Eye Institute, Los Angeles, CA, United States, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Chang M.Y., Department of Ophthalmology and Vision Science, University of California Davis Eye Center, Sacramento, CA, United States, Vision Center, Children's Hospital of Los Angeles, Los Angeles, CA, United States, Department of Ophthalmology, Roski Eye Institute, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Chang M.Y., The Vision Center at the Children's Hospital Los Angeles, Los Angeles, CA, United States, Roski Eye Center, University of Southern California, Los Angeles, CA, United States;Chang M.Y., Department of Ophthalmology, Roski Eye Institute, University of Southern California, Los Angeles, CA, United States, Vision Center at Children's Hospital Los Angeles, Los Angeles, CA, United States","Chang, Michael (36843686500)###Chang Melinda Y.", Michael###Melinda,Chang###Chang,###Children's Hospital Los Angeles;Ophthalmology;Surgery,###Keck Medicine of USC,2,FALSE,FALSE,,,,,,,
Chang S.,57215814947###57218575541###57841685800,"Chang S., Department of Translational Genomics, Keck School of Medicine, University of Southern California, Los Angeles, United States;Chang S., Department of Translational Genomics, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States###Chang S., Department of Neurosurgery, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States###Chang S.W., Department of Orthopaedic Surgery, Keck School of Medicine of USC, Los Angeles, CA, United States;Chang S.W., Department of Orthopaedic Surgery, Keck School of Medicine of the University of Southern California, 2011 Zonal Ave,HMR 702, Los Angeles, 90089, CA, United States","Chang, Sharon (57215814947)###Chang, Stephanie (57218575541)###Chang Stephanie W.", Sharon### Stephanie###Stephanie,Chang###Chang###Chang,Translational Genomics######Orthopaedic Surgery,Keck Medicine of USC###Keck Medicine of USC###Keck Medicine of USC,3,FALSE,TRUE,,,,,,,
Chang T.Y.,57059671200###57917342400,"Chang T.Y., Marshall School of Business, University of Southern California, Los Angeles, CA, United States###Chang T.Y., Marshall School of Business, University of Southern California, United States","Chang, Tom Y. (57059671200)###Chang, Tom Y. (57917342400)", Tom Y.### Tom Y.,Chang###Chang,###,Marshall School of Business###Marshall School of Business,2,TRUE,TRUE,,57059671200###57917342400,Tom Y,Tom,Chang,"Chang, Tom",
Chang Y.-C.,57192918116###57303521600,"Chang Y.-C., University of Southern California, Los Angeles, 90033, CA, United States, Feinstein Institutes for Medical Research, Manhasset, 11030, NY, United States###Chang Y.-C., Zilkha Neurogenetic Institute, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States","Chang, Yao-Chuan (57192918116)###Chang, Yen-Ching (57303521600)", Yao-Chuan### Yen-Ching,Chang###Chang,###Zilkha Neurogenetic Institute (ZNI),###Keck Medicine of USC,2,FALSE,FALSE,,,,,,,
